"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"USGS-01193465",1987-08-28,1987-08-28 13:00:00,0.32,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01193465",1987-08-27,1987-08-27 21:00:00,0.25,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01193465",1987-08-29,1987-08-29 09:00:00,0.42,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187830",2000-03-11,2000-03-11 16:45:00,0.206,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187850",1999-11-02,1999-11-02 23:30:00,0.0499209396882765,"mgLNO3-N","Nitrate","71851",TRUE,"Dissolved",0
"USGS-01193450",1987-08-28,1987-08-28 11:00:00,0.16,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187800",2000-03-11,2000-03-11 16:48:00,0.170092613508019,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187800",2000-03-11,2000-03-11 16:48:00,0.17,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187800",1999-09-10,1999-09-10 07:00:00,0.118,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187850",2000-11-11,2000-11-11 05:40:00,0.052,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187800",1999-11-02,1999-11-03 00:30:00,0.0499209396882765,"mgLNO3-N","Nitrate","71851",TRUE,"Dissolved",0
"USGS-01187800",1999-11-02,1999-11-03 00:30:00,0.05,"mgLNO3-N","Nitrate","00618",TRUE,"Dissolved",0
"USGS-01187830",2000-03-11,2000-03-11 16:45:00,0.206008583690987,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187850",1999-10-20,1999-10-20 12:00:00,0.0499209396882765,"mgLNO3-N","Nitrate","71851",TRUE,"Dissolved",0
"USGS-01193450",1987-08-29,1987-08-29 11:00:00,0.13,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187850",2000-11-11,2000-11-11 05:40:00,0.0519539191325954,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187850",2000-11-10,2000-11-10 10:30:00,0.096,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187850",2000-11-10,2000-11-10 14:30:00,0.0749943528348769,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187800",1999-09-10,1999-09-10 07:00:00,0.117912807770499,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187850",2000-11-10,2000-11-10 10:30:00,0.0960018070928394,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187800",1999-12-14,1999-12-14 23:00:00,0.0930652812288231,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187800",1999-12-14,1999-12-14 23:00:00,0.093,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187850",2000-11-10,2000-11-10 14:30:00,0.075,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01193450",1987-08-27,1987-08-27 21:00:00,0.38,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187850",1999-12-14,1999-12-14 20:10:00,0.05,"mgLNO3-N","Nitrate","00618",TRUE,"Dissolved",0
"USGS-01187850",1999-10-20,1999-10-20 12:00:00,0.05,"mgLNO3-N","Nitrate","00618",TRUE,"Dissolved",0
"USGS-01187850",1999-08-21,1999-08-21 18:00:00,0.055,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187850",1999-08-21,1999-08-21 18:00:00,0.0548904449966117,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187850",1999-05-19,1999-05-19 21:37:00,0.0499209396882765,"mgLNO3-N","Nitrate","71851",TRUE,"Dissolved",0
"USGS-01187850",1999-11-02,1999-11-02 23:30:00,0.05,"mgLNO3-N","Nitrate","00618",TRUE,"Dissolved",0
"USGS-01187850",1999-05-19,1999-05-19 21:37:00,0.05,"mgLNO3-N","Nitrate","00618",TRUE,"Dissolved",0
"USGS-01187850",1999-12-14,1999-12-14 20:10:00,0.0499209396882765,"mgLNO3-N","Nitrate","71851",TRUE,"Dissolved",0
"USGS-01187850",2000-11-10,2000-11-10 11:30:00,0.091,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187850",2000-11-10,2000-11-10 11:30:00,0.0910323017845042,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187830",2000-03-28,2000-03-28 06:45:00,0.132,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
"USGS-01187830",2000-03-28,2000-03-28 06:45:00,0.131917777275808,"mgLNO3-N","Nitrate","71851",NA,"Dissolved",0
"USGS-01187850",1999-08-14,1999-08-14 23:00:00,0.165,"mgLNO3-N","Nitrate","00618",NA,"Dissolved",0
