"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"USGS-01193465",1987-08-27,1987-08-27 21:00:00,0.0290229,"mgLPO4-P","Orthophosphate","00660",NA,"Dissolved",0
"USGS-01193465",1987-08-28,1987-08-28 13:00:00,0.0329361,"mgLPO4-P","Orthophosphate","00660",NA,"Dissolved",0
"USGS-01193450",1987-08-29,1987-08-29 11:00:00,0.0009783,"mgLPO4-P","Orthophosphate","00660",TRUE,"Dissolved",0
"USGS-01193465",1987-08-28,1987-08-28 13:00:00,0.033,"mgLPO4-P","Orthophosphate","00671",NA,"Dissolved",0
"USGS-01187800",2000-03-11,2000-03-11 16:48:00,0.0101091,"mgLPO4-P","Orthophosphate","00660",TRUE,"Dissolved",0
"USGS-01187850",1999-10-20,1999-10-20 12:00:00,0.01,"mgLPO4-P","Orthophosphate","00671",TRUE,"Dissolved",0
"USGS-01187800",1999-12-14,1999-12-14 23:00:00,0.0110874,"mgLPO4-P","Orthophosphate","00660",NA,"Dissolved",0
"USGS-01187850",2000-11-11,2000-11-11 05:40:00,0.02,"mgLPO4-P","Orthophosphate","00671",TRUE,"Dissolved",0
"USGS-01187800",2000-03-11,2000-03-11 16:48:00,0.01,"mgLPO4-P","Orthophosphate","00671",TRUE,"Dissolved",0
"USGS-01187850",2000-11-11,2000-11-11 05:40:00,0.0179355,"mgLPO4-P","Orthophosphate","00660",TRUE,"Dissolved",0
"USGS-01187800",1999-11-02,1999-11-03 00:30:00,0.01,"mgLPO4-P","Orthophosphate","00671",TRUE,"Dissolved",0
"USGS-01187830",2000-03-28,2000-03-28 06:45:00,0.0101091,"mgLPO4-P","Orthophosphate","00660",TRUE,"Dissolved",0
"USGS-01187800",1999-09-10,1999-09-10 07:00:00,0.01,"mgLPO4-P","Orthophosphate","00671",TRUE,"Dissolved",0
"USGS-01187830",2000-03-11,2000-03-11 16:45:00,0.0101091,"mgLPO4-P","Orthophosphate","00660",TRUE,"Dissolved",0
"USGS-01187850",2000-11-10,2000-11-10 10:30:00,0.0110874,"mgLPO4-P","Orthophosphate","00660",NA,"Dissolved",0
"USGS-01187800",1999-11-02,1999-11-03 00:30:00,0.0101091,"mgLPO4-P","Orthophosphate","00660",TRUE,"Dissolved",0
"USGS-01193450",1987-08-28,1987-08-28 11:00:00,0.0009783,"mgLPO4-P","Orthophosphate","00660",NA,"Dissolved",0
"USGS-01193450",1987-08-28,1987-08-28 11:00:00,0.001,"mgLPO4-P","Orthophosphate","00671",NA,"Dissolved",0
"USGS-01187830",2000-03-11,2000-03-11 16:45:00,0.01,"mgLPO4-P","Orthophosphate","00671",TRUE,"Dissolved",0
"USGS-01187850",2000-11-10,2000-11-10 14:30:00,0.01,"mgLPO4-P","Orthophosphate","00671",NA,"Dissolved",0
