"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"USGS-01187800",2000-03-11,2000-03-11 16:48:00,43,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01187850",1999-11-02,1999-11-02 23:30:00,39,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01193465",1987-08-28,1987-08-28 13:00:00,38,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01187830",2000-03-11,2000-03-11 16:45:00,44,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01187800",1999-12-14,1999-12-14 23:00:00,53,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01193450",1987-08-28,1987-08-28 11:00:00,38,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01193450",1987-08-27,1987-08-27 21:00:00,38,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01193465",1987-08-29,1987-08-29 09:00:00,49,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01193450",1987-08-29,1987-08-29 11:00:00,35,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01193465",1987-08-27,1987-08-27 21:00:00,33,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01187800",1999-11-02,1999-11-03 00:30:00,57,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01187850",1999-12-14,1999-12-14 20:10:00,36,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01187830",2000-03-28,2000-03-28 06:45:00,40,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01187800",2000-03-28,2000-03-28 06:30:00,43,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01208500",2020-05-26,2020-05-26 15:00:00,156,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-01208500",2020-05-26,2020-05-26 15:00:00,153,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"USGS-01201487",2020-05-28,2020-05-28 17:15:00,317,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01183610",2020-10-23,2020-10-23 15:45:00,92,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01166500",2020-10-26,2020-10-26 13:30:00,117,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"21NYDECA_WQX-16011112",2013-05-20,2013-05-20 13:50:00,61,"mgLTDS","Total dissolved solids",NA,NA,"Total",0
"USGS-01119375",2020-03-10,2020-03-10 18:45:00,84,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01119375",2020-03-10,2020-03-10 18:45:00,81,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01177000",2020-10-23,2020-10-23 13:00:00,88,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01177000",2020-10-23,2020-10-23 13:00:00,79,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01170100",2017-07-19,2017-07-19 13:10:00,53,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01124000",2017-05-16,2017-05-16 14:00:00,124,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01192500",2017-07-10,2017-07-10 15:00:00,263,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"CT_DEP01_WQX-15854",2013-09-24,2013-09-24 17:00:00,202,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01198125",1995-09-11,1995-09-11 14:30:00,292,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"CT_DEP01_WQX-14556",2013-09-25,2013-09-25 18:39:00,163,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01184490",2017-06-08,2017-06-08 16:15:00,208,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"CT_DEP01_WQX-16042",2013-09-20,2013-09-20 16:58:00,96,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01196500",2017-07-06,2017-07-06 12:45:00,334,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-01170100",2017-03-13,2017-03-13 15:30:00,58,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-01170100",2017-10-23,2017-10-23 18:10:00,69,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01184000",2017-10-18,2017-10-18 15:20:00,110,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01184000",2017-10-18,2017-10-18 15:20:00,106,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
