"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"11113300-01-SGR",2012-06-26,2012-06-26 16:30:00,7.1,"pHunit","pH",NA,FALSE,NA,0
"11113300-07-ASH",2012-08-21,2012-08-21 13:40:00,6.67,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-BLD",2012-07-30,2012-07-30 12:45:00,5.95,"pHunit","pH",NA,FALSE,NA,0
"11113300-04-SSR",2012-09-10,2012-09-10 12:00:00,6.62,"pHunit","pH",NA,FALSE,NA,0
"11113300-03-AMM",2012-08-07,2012-08-07 14:35:00,6.43,"pHunit","pH",NA,FALSE,NA,0
"11113300-05-DOB",2012-06-29,2012-06-29 15:21:00,6.44,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-GRB",2012-06-29,2012-06-29 12:50:00,7.3,"pHunit","pH",NA,FALSE,NA,0
"11113300-05-SGR",2012-07-25,2012-07-25 14:30:00,6.84,"pHunit","pH",NA,FALSE,NA,0
"11113300-04-SSR",2012-09-10,2012-09-10 12:15:00,6.52,"pHunit","pH",NA,FALSE,NA,0
"11113300-05-SGR",2012-06-05,2012-06-05 16:30:00,6.67,"pHunit","pH",NA,FALSE,NA,0
"11113300-12-SGR",2012-07-10,2012-07-10 15:05:00,6.58,"pHunit","pH",NA,FALSE,NA,1
"11113300-04-SSR",2012-08-20,2012-08-20 12:10:00,6.59,"pHunit","pH",NA,FALSE,NA,1
"11113300-02-BLD",2012-06-18,2012-06-18 12:55:00,6.06,"pHunit","pH",NA,FALSE,NA,0
"11113300-16-ASH",2012-07-17,2012-07-17 13:40:00,6.34,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-CLD",2012-06-28,2012-06-28 22:49:00,7.27,"pHunit","pH",NA,FALSE,NA,0
"11113300-22-AMM",2012-08-07,2012-08-07 17:25:00,6.24,"pHunit","pH",NA,FALSE,NA,0
"11113300-05-SGR",2012-06-27,2012-06-27 11:05:00,6.51,"pHunit","pH",NA,FALSE,NA,0
"11113300-03-AMM",2012-07-16,2012-07-16 13:20:00,6.88,"pHunit","pH",NA,FALSE,NA,0
"11113300-16-ASH",2012-08-21,2012-08-21 12:55:00,6.63,"pHunit","pH",NA,FALSE,NA,0
"11113300-02-ISR",2012-08-31,2012-08-31 12:05:00,6.64,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-OTT",2012-08-28,2012-08-28 14:18:00,6.66,"pHunit","pH",NA,FALSE,NA,0
"11113300-13-AMM",2012-08-07,2012-08-07 15:50:00,7.39,"pHunit","pH",NA,FALSE,NA,0
"11113300-05-SGR",2012-06-05,2012-06-05 16:45:00,6.62,"pHunit","pH",NA,FALSE,NA,0
"11113300-03-GRB",2012-06-29,2012-06-29 13:40:00,6.92,"pHunit","pH",NA,FALSE,NA,0
"11113300-04-SSR",2012-07-30,2012-07-30 12:00:00,6.47,"pHunit","pH",NA,FALSE,NA,0
"11113300-12-SGR",2012-06-27,2012-06-27 10:10:00,6.55,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-CLD",2012-06-28,2012-06-28 19:30:00,7.38,"pHunit","pH",NA,FALSE,NA,0
"11113300-01-OTT",2012-09-30,2012-09-30 18:16:00,6.42,"pHunit","pH",NA,FALSE,NA,0
